Star,HD,RA,dec,Vmag,Vmagerr,par,parerr,source,teff,tefferr,logg,loggerr,logglc,logglcerr,vt,vterr,feh,feherr,mass,masserr,Author,link,flag,updated,Comment,tmp
YBP1514,,08 51 01.00,+11 53 12.00,14.77,,,,Spec,5076.0,34.0,3.61,0.09,,,0.98,0.04,0.09,0.02,1.24,0.15,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
YBP401,,08 51 19.00,+11 40 16.00,13.7,0.06,1.17,0.03,GAIADR2,6131.0,37.0,4.36,0.04,,,1.13,0.05,0.04,0.03,1.13,0.1,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
GJ 625,,16 25 25.00,+54 18 12.00,10.17,0.04,153.46,0.99,Simbad,3499.0,68.0,4.94,0.06,,,,,-0.38,0.09,0.39,0.03,Suarez Mascareno et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1705.06537,0,2018-07-30,M1,
LHS 1140,,00 44 59.00,-15 16 17.00,14.15,0.06,,,Spec,3131.0,100.0,,,,,,,-0.24,0.1,,,Dittmann et al. 2017,http://adsabs.harvard.edu/abs/2017Natur.544..333D,0,2017-05-26,M4,
BD+03 2562,,11 50 15.55,+02 45 36.47,9.58,0.01,0.9,0.05,GAIADR2,4095.0,20.0,1.89,0.1,,,1.52,0.09,-0.71,0.09,2.61,0.28,"Villaver et al. 2017, Zielinski et al. 2012","http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1706.01278, http://adsabs.harvard.edu/abs/2012A%26A...547A..91Z",0,2018-07-30,,
EPIC 210894022,,03 59 33.54,+21 17 55.27,11.1,0.04,4.96,0.07,GAIADR2,5730.0,50.0,4.15,0.1,,,,,-0.53,0.05,0.93,0.08,Fridlund et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1704.08284,0,2018-07-30,,
EPIC 228735255,,12 32 32.96,-09 36 27.50,12.6,0.03,2.85,0.07,GAIADR2,5654.0,55.0,4.45,0.01,,,,,0.12,0.04,0.97,0.08,Giles et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1706.06865,0,2018-07-30,,
HD 195689,195689,20 31 26.35,+39 56 19.77,7.56,,4.86,0.04,GAIADR2,10170.0,450.0,4.09,0.01,,,,,-0.03,0.2,2.53,0.26,Gaudi et al. 2017,http://adsabs.harvard.edu/abs/2017Natur.546..514G,0,2018-07-30,,
K2-66,,22 06 6.410,-10 42 41.58,11.71,0.02,1.92,0.09,GAIADR2,5887.0,46.0,4.03,0.05,,,,,-0.05,0.02,1.19,0.12,Sinukoff et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1705.03491,0,2018-07-30,,
TYC 4282-605-1,,22 55 29.26,+62 14 20.85,10.58,0.01,2.13,0.03,GAIADR2,4300.0,50.0,2.0,0.2,,,1.19,0.2,-0.07,0.16,3.03,0.57,Gonzalez-Alvarez et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1706.06955,0,2018-07-30,,
WASP-167,,13 04 10.53,-35 32 58.28,10.5,0.05,2.33,0.06,GAIADR2,7043.0,89.0,4.13,0.03,,,,,-0.04,0.16,1.52,0.12,Temple et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1704.07771,0,2018-07-30,,
HAT-36,,19 25 54.8,-23 12 10,14.39,0.02,1.14,0.03,GAIADR2,5970.0,160.0,4.34,0.02,,,,,0.13,0.1,1.11,0.12,Bayliss et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1706.03858,0,2018-07-30,,
KELT-20,185603,19 38 38.7,+31 13 09,7.58,0.01,7.3,0.04,GAIADR2,8981.0,115.0,4.3,0.2,,,2.0,0.5,-0.05,0.06,2.0,0.19,Talens et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1707.01500,0,2018-07-30,,
CoRoT-32,,06 40 47.00,+09 15 27.00,14.0,,,,Spec,5970.0,100.0,4.67,0.1,,,,,0.0,0.2,0.99,0.1,Boufleur et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1709.00351,0,2018-07-30,,CoRoT 223977153
