Star,HD,RA,dec,Vmag,Vmagerr,par,parerr,source,teff,tefferr,logg,loggerr,logglc,logglcerr,vt,vterr,feh,feherr,mass,masserr,Author,link,flag,updated,Comment,tmp
11 Com,107383,12 20 43.02,+17 47 34.33,4.74,0.02,10.71,0.22,GAIADR2,4830.0,79.0,2.61,0.13,,,1.7,0.1,-0.34,0.06,2.14,0.28,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,, 11 Com
11 UMi,136726,15 17 05.88,+71 49 26.04,5.01,0.01,7.95,0.12,GAIADR2,4255.0,88.0,1.8,0.26,,,1.79,0.08,-0.13,0.04,3.4,0.76,Sousa et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150302443S,1,2018-07-30,, 11 UMi
14 And,221345,23 31 17.41,+39 14 10.30,5.22,,13.23,0.12,GAIADR2,4709.0,37.0,2.44,0.12,,,1.51,0.03,-0.29,0.03,2.38,0.29,Sousa et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150302443S,1,2018-07-30,, 14 And
14 Her,145675,16 10 24.31,+43 49 03.52,6.67,,55.74,0.02,GAIADR2,5286.0,58.0,4.24,0.11,,,0.8,0.09,0.38,0.04,0.99,0.09,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,, 14 Her
16 Cyg B,186427,19 41 51.97,+50 31 03.08,6.2,,47.28,0.02,GAIADR2,5783.0,19.0,4.42,0.03,,,0.96,0.03,0.09,0.01,1.01,0.08,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,, 16 Cyg B
18 Del,199665,20 58 25.93,+10 50 21.42,5.51,0.01,13.09,0.11,GAIADR2,5076.0,38.0,3.08,0.1,,,1.32,0.04,0.0,0.03,1.76,0.18,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,, 18 Del
1SWASP J1407,,14 07 48.00,-39 45 43.00,12.31,0.03,7.18,0.04,GAIADR2,4400.0,100.0,4.0,,,,,,,,,,Kenworthy et al. 2014,http://adsabs.harvard.edu/abs/2015MNRAS.446..411K,0,2018-07-30,,ASAS J140748-3945.7
24 Sex,90043,10 23 28.37,-00 54 08.09,6.44,0.01,13.85,0.13,GAIADR2,5069.0,62.0,3.4,0.13,,,1.27,0.07,-0.01,0.05,1.4,0.16,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,, 24 Sex
30 Ari B,16232,02 36 57.74,+24 38 53.03,7.09,,22.36,0.05,GAIADR2,6284.0,98.0,4.35,0.2,,,,,0.12,0.08,1.25,0.17,Tsantaki et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1407.6765T,1,2018-07-30,, 30 Ari B
38 Vir,111998,12 53 11.16,-03 33 11.16,6.11,,30.07,0.05,GAIADR2,6440.0,51.0,4.42,0.22,,,-1.0,-1.0,0.16,0.05,1.3,0.17,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,, 38 Vir
4 Uma,73108,08 40 12.81,+64 19 40.57,4.61,,13.59,0.22,GAIADR2,4531.0,52.0,2.32,0.14,,,1.54,0.04,-0.19,0.03,2.52,0.35,Sousa et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150302443S,1,2018-07-30,, pi.02 UMa
42 Dra,170693,18 25 59.13,+65 33 48.52,4.82,0.01,11.01,0.16,GAIADR2,4452.0,42.0,2.09,0.16,,,1.5,0.04,-0.41,0.03,2.77,0.41,Sousa et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150302443S,1,2018-07-30,, 42 Dra
47 Uma,95128,10 59 27.97,+40 25 48.92,5.04,0.05,72.45,0.15,GAIADR2,5954.0,25.0,4.44,0.1,,,1.3,0.04,0.06,0.03,1.05,0.09,Santos et al. 2004,http://adsabs.harvard.edu/abs/2004A%26A...415.1153S,1,2018-07-30,, 47 UMa
51 Peg,217014,22 57 27.98,+20 46 07.79,5.46,0.05,64.65,0.12,GAIADR2,5814.0,19.0,4.35,0.03,,,1.04,0.03,0.21,0.01,1.08,0.09,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,, 51 Peg
55 Cnc,75732,08 52 35.81,+28 19 50.95,5.95,0.05,79.43,0.08,GAIADR2,5353.0,62.0,4.3,0.14,,,1.01,0.1,0.3,0.04,0.97,0.09,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,, rho01 Cnc
6 Lyn,45410,06 30 47.10,+58 09 45.48,5.88,,18.27,0.09,GAIADR2,5022.0,28.0,3.15,0.13,,,1.16,0.03,-0.1,0.02,1.6,0.19,Sousa et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150302443S,1,2018-07-30,,  6 Lyn
61 Vir,115617,13 18 24.31,-18 18 40.30,4.74,0.01,116.89,0.22,Simbad,5559.0,17.0,4.36,0.03,,,0.8,0.03,-0.01,0.01,0.93,0.07,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,, 61 Vir
7 CMa,47205,06 36 41.03,-19 15 21.16,3.91,0.01,50.46,0.42,GAIADR2,4761.0,79.0,3.11,0.22,,,1.19,0.08,0.21,0.05,1.63,0.31,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,, nu.02 CMa
70 Vir,117176,13 28 25.80,+13 46 43.63,4.97,0.01,55.83,0.17,GAIADR2,5565.0,25.0,4.05,0.05,,,1.05,0.03,-0.03,0.02,1.05,0.09,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,, 70 Vir
75 Cet,15779,02 32 09.42,-01 02 05.62,5.36,0.01,12.03,0.1,GAIADR2,4904.0,47.0,2.87,0.14,,,1.41,0.05,0.02,0.04,1.96,0.26,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,, 75 Cet
8 Umi,133086,14 56 48.00,+74 54 03.00,6.84,0.01,6.14,0.21,Simbad,4847.0,8.0,2.57,0.03,,,1.48,0.04,-0.03,0.02,2.39,0.17,Lee et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150909012L,0,2018-07-30,,  8 UMi
81 Cet,16400,02 37 41.80,-03 23 46.22,5.65,0.01,9.85,0.12,GAIADR2,4845.0,51.0,2.45,0.19,,,1.58,0.05,-0.07,0.04,2.61,0.46,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,, 81 Cet
91 Aqr,219449,23 15 53.49,-09 05 15.85,4.25,,22.69,0.26,GAIADR2,4681.0,92.0,2.65,0.22,,,1.59,0.09,0.0,0.05,2.14,0.43,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,, psi01 Aqr
Aldebaran,29139,04 35 55.00,+16 30 33.00,0.86,,48.94,0.77,Simbad,3999.0,25.0,1.67,0.09,,,-1.0,-1.0,-0.24,0.03,3.28,0.31,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,, alf Tau
alf Ari,12929,02 07 10.40,+23 27 44.70,2.01,0.01,49.56,0.25,Simbad,4513.0,72.0,2.49,0.21,,,1.5,0.07,-0.16,0.03,2.21,0.43,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,, alf Ari
AS 205 A,,16 11 31.00,-18 38 25.00,12.4,,,,Spec,4300.0,,3.5,,,,,,0.0,,,,Viana Almeida et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1701.02713,0,2017-01-11,M0,
BD-06 1339,,05 53 00.28,-05 59 41.43,9.69,,49.31,0.05,GAIADR2,4559.0,281.0,4.5,0.69,,,0.57,1.03,-0.34,0.08,0.75,0.14,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,K7V/M0V,HIP 27803
BD-08 2823,,10 00 47.72,-09 31 00.03,9.87,0.06,24.16,0.04,GAIADR2,4648.0,135.0,4.33,0.32,,,0.27,0.81,0.0,0.08,0.75,0.07,Tsantaki et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A.150T,1,2018-07-30,,BD-08  2823
BD-10 3166,,10 58 28.77,-10 46 13.38,10.01,0.04,11.82,0.05,GAIADR2,5367.0,56.0,4.36,0.12,,,1.02,0.08,0.3,0.04,0.95,0.08,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,BD-10  3166
BD-11 4672,,18 33 29.00,-11 38 10.00,9.99,0.05,36.72,0.26,Simbad,4475.0,100.0,4.1,0.36,,,0.67,0.16,-0.48,0.05,0.71,0.07,Moutou et al. 2015,http://adsabs.harvard.edu/abs/2015A%26A...576A..48M,1,2018-07-30,,BD-11  4672
BD-17 63,,00 28 34.30,-16 13 34.84,9.72,0.09,28.99,0.08,GAIADR2,4665.0,105.0,4.19,0.24,,,0.57,0.54,0.01,0.08,0.77,0.07,Sousa et al. 2011b,http://adsabs.harvard.edu/abs/2011A%26A...533A.141S,1,2018-07-30,,BD-17    63
BD+14 4559,,21 13 35.99,+14 41 21.79,9.66,0.03,20.23,0.03,GAIADR2,4864.0,101.0,4.26,0.29,,,0.72,0.25,0.17,0.06,0.84,0.1,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,1,2018-07-30,,HIP 104780
BD+15 2375,,11 45 56.00,+14 36 59.00,10.3,0.02,1.64,0.5,Simbad,4649.0,30.0,2.61,0.12,,,,,-0.22,0.08,2.07,0.25,Niedzielski et al. 2016,http://adsabs.harvard.edu/abs/2016arXiv160106832N,0,2018-07-30,,TYC 870-204-1
BD+15 2940,,16 00 22.94,+15 32 48.90,9.05,0.02,2.32,0.04,GAIADR2,4838.0,46.0,2.72,0.12,,,1.43,0.04,-0.15,0.03,2.07,0.25,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,HIP 78407
BD+20 2457,,10 16 44.86,+19 53 28.97,9.74,0.03,0.6,0.08,GAIADR2,4259.0,64.0,1.77,0.19,,,1.98,0.07,-0.79,0.03,2.99,0.5,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,,TYC 1422-790-1
BD+20 274,,01 43 40.87,+21 00 19.04,9.37,0.03,0.72,0.05,GAIADR2,4391.0,79.0,2.03,0.21,,,1.8,0.08,-0.32,0.04,2.9,0.55,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,,TYC 1211-603-1
BD+20 594,,03 34 36.00,+20 35 57.00,10.85,0.08,5.78,0.25,Simbad,5659.0,18.0,4.28,0.03,,,0.87,0.03,-0.14,0.01,0.95,0.07,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,TYC 1242-608-1
BD+24 4697,,23 01 39.00,+25 47 17.00,9.74,0.02,22.97,0.51,Simbad,5077.0,32.0,4.67,0.07,,,1.04,0.05,-0.11,0.02,0.76,0.04,Wilson et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1602.02749,1,2018-07-30,,TYC 2239-389-1
BD+26 1888,,09 02 31.00,+25 53 22.00,9.76,0.04,24.27,0.47,Simbad,4748.0,87.0,4.3,0.2,,,0.74,0.24,0.02,0.04,0.76,0.06,Wilson et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1602.02749,1,2018-07-30,,HIP 44387
BD+48 738,,02 42 50.46,+49 35 13.08,9.14,0.02,1.12,0.06,GAIADR2,4658.0,118.0,2.62,0.26,,,1.7,0.12,-0.09,0.08,2.13,0.51,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,,TYC 3304-323-1
BD+49 828,,03 02 34.00,+49 43 48.00,9.38,0.02,2.45,0.25,Simbad,5015.0,36.0,2.87,0.09,,,1.48,0.04,-0.01,0.03,2.01,0.2,Andreasen et al. 2017,http://adsabs.harvard.edu/abs/2017arXiv170306671A,1,2018-07-30,,TYC 3318-1515-1
beta Cnc,69267,08 16 30.92,+09 11 07.96,3.52,0.01,11.04,0.66,GAIADR2,4193.0,25.0,1.89,0.09,,,-1.0,-1.0,-0.1,0.03,3.14,0.3,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
beta Umi,131873,14 50 42.33,+74 09 19.81,2.08,,24.91,0.12,Simbad,4126.0,25.0,1.5,0.1,,,1.7,0.1,-0.27,0.07,3.88,0.38,Lee et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1405.2127L,0,2018-07-30,,
CI Tau,,04 33 52.00,+22 50 30.00,13.8,,6.3,0.05,GAIADR2,,,,,,,,,,,,,Rosotti et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1609.02917,0,2018-07-30,,V CI Tau
CoRoT-1,,06 48 19.17,-03 06 07.68,13.6,,1.24,0.04,GAIADR2,6397.0,54.0,4.66,0.09,4.35,0.01,1.68,0.09,0.03,0.04,1.13,0.1,Mortier et al. 2013b,http://adsabs.harvard.edu/abs/2013A%26A...558A.106M,1,2018-07-30,,CoRoT-1
CoRoT-10,,19 24 15.29,+00 44 45.99,15.22,,2.93,0.03,GAIADR2,5025.0,155.0,4.47,0.31,4.61,0.02,1.26,0.34,0.06,0.09,0.81,0.08,Mortier et al. 2013b,http://adsabs.harvard.edu/abs/2013A%26A...558A.106M,1,2018-07-30,,CoRoT-10
CoRoT-11,,18 42 44.95,+05 56 15.70,12.94,0.38,1.5,0.06,GAIADR2,6343.0,72.0,4.27,0.3,4.26,0.06,,,0.04,0.03,1.3,0.16,Tsantaki et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1407.6765T,1,2018-07-30,,CoRoT-11
CoRoT-12,,06 43 03.76,-01 17 47.12,15.52,0.05,0.86,0.04,GAIADR2,5715.0,208.0,4.66,0.22,4.41,0.02,1.07,0.31,0.17,0.14,0.98,0.11,Mortier et al. 2013b,http://adsabs.harvard.edu/abs/2013A%26A...558A.106M,1,2018-07-30,,CoRoT-12
CoRoT-13,,06 50 53.07,-05 05 11.14,15.04,,0.84,0.04,GAIADR2,5945.0,90.0,4.26,0.04,,,,,0.01,0.07,1.1,0.1,Southworth 2011,http://adsabs.harvard.edu/abs/2011MNRAS.417.2166S,0,2018-07-30,,CoRoT-13
CoRoT-14,,06 53 41.80,-05 32 09.69,16.03,0.07,0.55,0.05,GAIADR2,6035.0,100.0,4.34,0.08,,,,,0.05,0.15,1.11,0.12,Southworth 2011,http://adsabs.harvard.edu/abs/2011MNRAS.417.2166S,0,2018-07-30,,CoRoT-14
CoRoT-15,,06 28 28.00,+06 11 10.47,16.0,0.5,,,Spec,6260.0,140.0,4.1,0.2,,,,,-0.29,0.1,1.22,0.2,Bouchy et al. 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A..83B,0,2018-07-30,,CoRoT-15b
CoRoT-16,,18 34 05.91,-06 00 09.35,16.03,0.43,1.34,0.06,GAIADR2,5650.0,100.0,4.36,0.1,,,,,0.19,0.06,1.01,0.1,Ollivier et al. 2012,http://adsabs.harvard.edu/abs/2012A%26A...541A.149O,0,2018-07-30,,CoRoT-16
CoRoT-17,,18 34 47.81,-06 36 44.13,15.88,0.43,0.82,0.04,GAIADR2,5740.0,80.0,4.04,0.07,,,,,0.0,0.1,1.14,0.12,Southworth 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426.1291S,0,2018-07-30,,CoRoT-17
CoRoT-18,,06 32 41.37,-00 01 53.75,15.0,0.1,1.28,0.05,GAIADR2,5440.0,100.0,4.44,0.04,,,,,-0.1,0.1,0.86,0.06,Southworth 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426.1291S,0,2018-07-30,,CoRoT-18
CoRoT-19,,06 28 08.05,-00 10 14.50,14.01,,1.24,0.04,GAIADR2,6425.0,95.0,4.54,0.09,,,1.52,0.13,0.24,0.07,1.26,0.13,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,CoRoT-19
CoRoT-2,,19 27 06.49,+01 23 01.38,12.57,,4.66,0.05,GAIADR2,5697.0,97.0,4.73,0.17,4.52,0.01,1.64,0.16,-0.09,0.07,0.89,0.07,Mortier et al. 2013b,http://adsabs.harvard.edu/abs/2013A%26A...558A.106M,1,2018-07-30,,CoRoT-2
CoRoT-20,,06 30 52.90,+00 13 36.85,14.66,,1.16,0.03,GAIADR2,5880.0,90.0,4.23,0.24,,,,,0.14,0.12,1.16,0.18,Southworth 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426.1291S,0,2018-07-30,,CoRoT-20
CoRoT-21,,06 44 12.64,-00 17 57.06,15.84,0.04,0.71,0.15,GAIADR2,6200.0,100.0,3.7,0.1,,,,,0.0,0.1,1.58,0.15,Patzold et al. 2012,http://adsabs.harvard.edu/abs/2012A%26A...545A...6P,0,2018-07-30,,CoRoT-21
CoRoT-22,,18 42 40.11,+06 13 08.97,13.94,0.08,1.57,0.03,GAIADR2,5939.0,100.0,4.3,0.1,,,,,0.17,0.1,1.14,0.13,Moutou et al. 2014b,http://adsabs.harvard.edu/abs/2014MNRAS.444.2783M,0,2018-07-30,,CoRoT-22
CoRoT-23,,18 39 07.84,+04 21 28.06,15.63,,0.92,0.04,GAIADR2,5900.0,100.0,4.01,0.08,,,,,0.05,0.1,1.26,0.15,Southworth 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426.1291S,0,2018-07-30,,CoRoT-23
CoRoT-24,,06 47 41.41,-03 43 09.53,,,1.66,0.04,GAIADR2,4950.0,150.0,4.55,0.15,,,,,0.3,0.15,0.81,0.07,Alonso et al. 2014,http://adsabs.harvard.edu/abs/2014A%26A...567A.112A,0,2018-07-30,,CoRoT-24
CoRoT-25,,18 42 31.12,+06 30 49.78,15.02,0.01,0.88,0.03,GAIADR2,6166.0,38.0,4.41,0.04,,,1.37,0.05,0.16,0.03,1.16,0.11,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,CoRoT-25
CoRoT-26,,18 39 00.12,+06 58 11.23,15.76,0.06,,,Spec,5590.0,100.0,4.1,0.1,,,0.8,,0.01,0.13,1.06,0.12,Almenara et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A.118A,0,2018-07-30,,CoRoT-26
CoRoT-27,,18 33 58.99,+05 32 18.96,15.54,,0.97,0.06,GAIADR2,5900.0,120.0,4.4,0.1,,,1.3,0.5,0.1,0.1,1.06,0.11,Parviainen et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.1122P,0,2018-07-30,,CoRoT-27
CoRoT-28,,18 34 45.00,+05 34 26.04,13.77,0.02,0.82,,Spec,5150.0,100.0,3.6,0.2,,,0.9,0.1,0.15,0.1,1.32,0.2,Cabrera et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150401532C,0,2018-07-30,,USNO-B1.0 0955-00374996
CoRoT-29,,18 35 36.50,+06 28 46.74,15.56,0.07,1.22,0.06,GAIADR2,5260.0,100.0,4.3,0.2,,,0.9,0.1,0.2,0.1,0.93,0.1,Cabrera et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150401532C,0,2018-07-30,,CoRoT-29
CoRoT-3,,19 28 13.27,+00 07 18.62,13.29,,1.27,0.05,GAIADR2,6558.0,44.0,4.25,0.15,4.25,0.07,,,0.14,0.04,1.38,0.12,Tsantaki et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1407.6765T,1,2018-07-30,,CoRoT-3
CoRoT-33,,18 38 34.00,+05 37 29.00,14.7,,1.44,0.04,GAIADR2,5225.0,80.0,4.4,0.1,,,0.86,0.1,0.44,0.1,0.93,0.08,Csizmadia et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150805763C,0,2018-07-30,,2MASS J18383391+0537287
CoRoT-4,,06 48 46.71,-00 40 21.98,13.7,,1.35,0.03,GAIADR2,6344.0,93.0,4.82,0.11,4.37,0.02,1.74,0.14,0.15,0.06,1.15,0.11,Mortier et al. 2013b,http://adsabs.harvard.edu/abs/2013A%26A...558A.106M,1,2018-07-30,,CoRoT-4
CoRoT-5,,06 45 06.54,+00 48 54.86,14.02,,1.11,0.03,GAIADR2,6240.0,70.0,4.46,0.11,4.41,0.03,1.28,0.09,0.04,0.05,1.13,0.11,Mortier et al. 2013b,http://adsabs.harvard.edu/abs/2013A%26A...558A.106M,1,2018-07-30,,CoRoT-5
CoRoT-6,,18 44 17.40,+06 39 47.50,13.8,0.3,1.52,0.03,GAIADR2,6278.0,73.0,4.76,0.07,,,1.43,0.14,-0.05,0.05,1.06,0.09,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,CoRoT-6
CoRoT-7,,06 43 49.47,-01 03 46.92,11.73,0.15,6.22,0.04,GAIADR2,5288.0,27.0,4.4,0.07,4.51,0.02,0.9,0.05,0.02,0.02,0.86,0.06,Mortier et al. 2013b,http://adsabs.harvard.edu/abs/2013A%26A...558A.106M,1,2018-07-30,,CoRoT-7
CoRoT-8,,19 26 21.24,+01 25 35.17,14.8,,3.08,0.03,GAIADR2,5143.0,178.0,4.42,0.33,4.49,0.03,0.61,0.4,0.22,0.11,0.89,0.12,Mortier et al. 2013b,http://adsabs.harvard.edu/abs/2013A%26A...558A.106M,1,2018-07-30,,CoRoT-8
CoRoT-9,,18 43 08.81,+06 12 14.89,13.46,0.31,2.39,0.03,GAIADR2,5613.0,36.0,4.35,0.09,4.47,0.04,0.9,0.05,-0.02,0.03,0.95,0.08,Mortier et al. 2013b,http://adsabs.harvard.edu/abs/2013A%26A...558A.106M,1,2018-07-30,,CoRoT-9
CVSO 30,,05 25 07.56,+01 34 24.33,16.26,,2.86,0.08,GAIADR2,3740.0,,,,,,,,,,,,Schmidt et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.05315,0,2018-07-30,M3,PTFO 8-8695
DW Lyn,,07 07 9.810,+60 38 50.13,,,0.67,0.06,GAIADR2,,,,,,,,,,,,,Lutz et al. 2013,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1301.2048,0,2018-07-30,,
EPIC 201295312,,11 36 03.00,-02 31 15.00,12.19,0.12,1.59,,Spec,5883.0,29.0,4.2,0.04,,,1.15,0.03,0.2,0.02,1.17,0.11,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,UCAC4 438-054801
K2-8,,11 19 10.48,-00 17 03.80,14.38,0.03,2.45,0.07,GAIADR2,4779.0,60.0,4.52,0.15,,,,,0.0,0.06,0.73,0.04,Brewer et al. 2016,http://adsabs.harvard.edu/abs/2016ApJS..225...32B,0,2018-07-30,,EPIC 201445392
K2-19,,11 39 50.48,+00 36 12.90,13.0,0.01,3.42,0.07,GAIADR2,5355.0,35.0,4.46,0.06,,,0.8,0.06,0.05,0.02,0.87,0.06,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,EPIC201505350
EPIC 201637175,,11 17 56.00,+02 37 07.00,15.6,0.01,2.71,,Spec,3830.0,100.0,4.65,0.12,,,,,0.03,0.08,0.52,0.04,Sanchis-Ojeda et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150404379S,0,2018-07-30,M dwarf,K2-22
EPIC 201713348,,11 17 48.00,+03 51 59.00,11.73,0.23,8.84,,Spec,4836.0,60.0,4.55,0.15,,,,,-0.03,0.06,0.74,0.04,Brewer et al. 2016,http://adsabs.harvard.edu/abs/2016ApJS..225...32B,0,2018-07-30,,
K2-16,,11 40 23.34,+04 33 26.40,14.65,0.01,2.96,0.04,GAIADR2,4761.0,57.0,4.65,,,,,,-0.4,0.17,,,Montet et al. 2015,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866,0,2018-07-30,,EPIC 201754305
K2-24,,16 10 18.00,-24 59 25.00,11.28,0.1,6.08,0.26,Simbad,5706.0,33.0,4.36,0.06,,,1.01,0.04,0.41,0.03,1.1,0.1,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,EPIC203771098
EPIC 203826436,,16 13 48.00,-24 47 13.00,12.52,0.06,3.85,,Spec,5352.0,60.0,4.53,0.15,,,,,-0.08,0.06,0.83,0.06,Brewer et al. 2016,http://adsabs.harvard.edu/abs/2016ApJS..225...32B,0,2018-07-30,,
EPIC 204221263,,16 00 08.00,-23 11 21.00,11.34,0.11,5.16,0.07,GAIADR2,5757.0,60.0,4.35,0.08,,,,,0.28,0.04,1.08,0.1,Sinukoff et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1511.09213,0,2018-07-30,,K2-38
K2-32,,16 49 42.27,-19 32 34.08,12.31,0.02,6.31,0.05,GAIADR2,5276.0,37.0,4.38,0.06,,,0.66,0.07,-0.05,0.03,0.85,0.05,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,EPIC 205071984
K2-33,,16 10 15.00,-19 19 09.00,16.0,,,,Spec,3540.0,70.0,,,,,,,,,,,Mann et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1604.06165,0,2018-04-16,M3,EPIC 205117205
EPIC 211391664,,08 25 57.20,+11 30 40.00,12.17,0.03,1.9,0.04,GAIADR2,6120.0,80.0,4.23,0.04,,,1.3,0.1,-0.2,0.1,1.1,0.11,Barragan et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1608.01165,0,2018-07-30,,UCAC4 508-047859
EPIC 211822797,,08 41 38.49,+17 38 24.02,,,5.34,0.04,GAIADR2,3880.0,67.0,,,,,1.5,,0.14,0.04,,,Mann et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1609.00726,0,2018-07-30,M0.4,Cl NGC 2632   HSHJ     385
EPIC 211913977,,08 41 22.58,+18 56 1.950,12.96,,5.28,0.06,GAIADR2,4819.0,45.0,,,,,1.5,,0.14,0.04,,,Mann et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1609.00726,0,2018-07-30,,Cl NGC 2632     JC     251
EPIC 211969807,,08 38 32.82,+19 46 25.78,16.26,,5.26,0.11,GAIADR2,3660.0,67.0,,,,,1.5,,0.14,0.04,,,Mann et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1609.00726,0,2018-07-30,M1.2,Cl NGC 2632     JC     126
EPIC 211970147,,08 40 13.45,+19 46 43.72,13.19,,5.29,0.06,GAIADR2,4695.0,50.0,,,,,1.5,,0.14,0.04,,,Mann et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1609.00726,0,2018-07-30,,Cl NGC 2632     JC     193
EPIC 211990866,,08 38 24.30,+20 06 21.83,10.55,,5.26,0.07,GAIADR2,5981.0,44.0,4.32,0.15,,,-1.0,-1.0,0.18,0.04,1.15,0.13,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,Cl NGC 2632      S      42
EPIC 216468514,,18 59 56.49,-22 17 36.25,12.92,0.01,1.43,0.04,GAIADR2,6030.0,120.0,4.07,0.1,,,,,0.1,0.1,1.3,0.17,Eigmuller et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1611.03704,0,2018-07-30,,UCAC4 339-174007
