intake_index,animal_id,name,datetime,monthyear,found_location,intake_type,intake_condition,animal_type,sex_upon_intake,age_upon_intake,breed,color,los,outcome_index,outcome_animal_id,outcome_name,outcome_datetime,outcome_monthyear,outcome_date_of_birth,outcome_type,outcome_subtype,outcome_animal_type,sex_upon_outcome,age_upon_outcome,outcome_breed,outcome_color,days_old,species
280,A597150,Kola,04/13/2017 10:41:00 AM,04/13/2017 10:41:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,8 years,Labrador Retriever/German Shepherd,Brown,304,11068,A597150,Kola,02/11/2018 05:42:00 PM,02/11/2018 05:42:00 PM,04/12/2009,Adoption,Foster,Dog,Spayed Female,8 years,Labrador Retriever/German Shepherd,Brown,2923,Dog
281,A748636,,05/04/2017 06:22:00 PM,05/04/2017 06:22:00 PM,1106 Omega Ave in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,5,46245,A748636,,05/10/2017 12:00:00 AM,05/10/2017 12:00:00 AM,05/04/2016,Transfer,Snr,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,365,Cat
282,A730598,Ace,12/12/2016 10:58:00 AM,12/12/2016 10:58:00 AM,9705 Manchaca Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,10 months,Labrador Retriever Mix,Black/White,0,52549,A730598,Ace,12/12/2016 05:31:00 PM,12/12/2016 05:31:00 PM,02/07/2016,Return to Owner,,Dog,Neutered Male,10 months,Labrador Retriever Mix,Black/White,309,Dog
283,A755296,Raven,08/01/2017 10:55:00 AM,08/01/2017 10:55:00 AM,6105 Pino Lane in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Black/White,5,59492,A755296,Raven,08/06/2017 04:11:00 PM,08/06/2017 04:11:00 PM,08/01/2016,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/White,365,Dog
284,A745181,Lola,05/26/2017 05:55:00 PM,05/26/2017 05:55:00 PM,12820 N Lamar Blvd in Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Labrador Retriever Mix,Brown,4,13067,A745181,Lola,05/31/2017 02:23:00 PM,05/31/2017 02:23:00 PM,03/14/2016,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Brown,438,Dog
285,A774688,,06/18/2018 05:55:00 PM,06/18/2018 05:55:00 PM,706 B West Ben White in Austin (TX),Stray,Normal,Kitten,Intact Male,2 weeks,Domestic Shorthair Mix,Black,0,50506,A774688,,06/18/2018 06:41:00 PM,06/18/2018 06:41:00 PM,06/04/2018,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black,14,Cat
286,A715190,Horus,11/01/2015 04:16:00 PM,11/01/2015 04:16:00 PM,8824 Stanbourne in Austin (TX),Stray,Normal,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Brown Tabby/White,43,43157,A715190,Horus,12/15/2015 10:45:00 AM,12/15/2015 10:45:00 AM,10/01/2009,Adoption,,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Brown Tabby/White,2222,Cat
287,A775143,*Jonathan,08/23/2018 12:02:00 AM,08/23/2018 12:02:00 AM,1013 Rutland Drive in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Staffordshire Mix,Blue/White,92,78521,A775143,*Jonathan,11/23/2018 03:54:00 PM,11/23/2018 03:54:00 PM,10/25/2017,Adoption,,Dog,Neutered Male,1 year,Staffordshire Mix,Blue/White,302,Dog
288,A677577,Roxie,04/26/2014 02:52:00 PM,04/26/2014 02:52:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,9 months,Queensland Heeler/Shetland Sheepdog,Red Tick/Black,5,36772,A677577,Roxie,05/01/2014 04:12:00 PM,05/01/2014 04:12:00 PM,06/26/2013,Adoption,,Dog,Spayed Female,10 months,Queensland Heeler/Shetland Sheepdog,Red Tick/Black,304,Dog
289,A778006,*Holden,08/07/2018 11:45:00 AM,08/07/2018 11:45:00 AM,933 Coronation Way in Pflugerville (TX),Stray,Normal,Kitten,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby,27,78072,A778006,*Holden,09/03/2018 06:07:00 PM,09/03/2018 06:07:00 PM,06/14/2018,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,54,Cat
290,A742359,Cookie,01/20/2017 02:36:00 PM,01/20/2017 02:36:00 PM,Austin (TX),Owner Surrender,Injured,Puppy,Intact Female,4 months,Anatol Shepherd Mix,Tan/Black,69,75474,A742359,Cookie,03/30/2017 03:09:00 PM,03/30/2017 03:09:00 PM,09/20/2016,Adoption,Foster,Dog,Spayed Female,6 months,Anatol Shepherd Mix,Tan/Black,122,Dog
291,A673084,*Beatrice,02/19/2014 01:51:00 PM,02/19/2014 01:51:00 PM,Travis (TX),Public Assist,Normal,Dog,Spayed Female,5 years,Chihuahua Shorthair/Yorkshire Terrier,White/Tan,45,47921,A673084,*Beatrice,04/05/2014 01:59:00 PM,04/05/2014 01:59:00 PM,02/19/2009,Adoption,Offsite,Dog,Spayed Female,5 years,Chihuahua Shorthair/Yorkshire Terrier,White/Tan,1826,Dog
292,A719797,*Samantha,01/28/2016 07:49:00 AM,01/28/2016 07:49:00 AM,4434 Frontier Trl( Goodsam Didnt Leave Found Address in Austin (TX),Stray,Injured,Cat,Intact Female,4 years,Domestic Shorthair Mix,Black,49,8645,A719797,*Samantha,03/17/2016 12:30:00 PM,03/17/2016 12:30:00 PM,01/28/2012,Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Black,1461,Cat
293,A761121,Legra,10/29/2017 02:49:00 PM,10/29/2017 02:49:00 PM,Sunset Valley in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Black,9,31574,A761121,Legra,11/08/2017 02:13:00 PM,11/08/2017 02:13:00 PM,10/29/2015,Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull Mix,Black,731,Dog
294,A737779,Sichere,02/21/2017 01:03:00 PM,02/21/2017 01:03:00 PM,11800 Stonehollow in Austin (TX),Stray,Normal,Dog,Intact Female,7 years,Pit Bull Mix,Brown/White,49,10711,A737779,Sichere,04/12/2017 12:27:00 PM,04/12/2017 12:27:00 PM,11/04/2009,Rto-Adopt,,Dog,Intact Female,7 years,Pit Bull Mix,Brown/White,2666,Dog
295,A666401,*Clint,01/14/2015 12:22:00 PM,01/14/2015 12:22:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,9 years,Chihuahua Shorthair Mix,Tricolor,3,41132,A666401,*Clint,01/17/2015 02:00:00 PM,01/17/2015 02:00:00 PM,10/31/2005,Adoption,,Dog,Neutered Male,9 years,Chihuahua Shorthair Mix,Tricolor,3362,Dog
296,A722235,Meridian,03/13/2016 11:44:00 AM,03/13/2016 11:44:00 AM,Golfcourse Rd And Hwy 973 in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,German Shepherd/Chow Chow,Sable,34,46393,A722235,Meridian,04/16/2016 02:49:00 PM,04/16/2016 02:49:00 PM,03/13/2012,Adoption,,Dog,Neutered Male,4 years,German Shepherd/Chow Chow,Sable,1461,Dog
297,A647108,Othello,11/01/2017 12:21:00 PM,11/01/2017 12:21:00 PM,1601 E Slaughter in Austin (TX),Stray,Normal,Dog,Neutered Male,7 years,Jack Russell Terrier Mix,Tricolor,0,21384,A647108,Othello,11/01/2017 06:15:00 PM,11/01/2017 06:15:00 PM,02/04/2010,Return to Owner,,Dog,Neutered Male,7 years,Jack Russell Terrier Mix,Tricolor,2827,Dog
298,A683959,,07/17/2014 03:27:00 PM,07/17/2014 03:27:00 PM,213 W Wild Sena in Austin (TX),Stray,Nursing,Kitten,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby,0,33920,A683959,,07/17/2014 05:31:00 PM,07/17/2014 05:31:00 PM,07/02/2014,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby,15,Cat
299,A707830,,07/18/2015 03:16:00 PM,07/18/2015 03:16:00 PM,12151 Ih 35 in Austin (TX),Stray,Normal,Kitten,Intact Male,4 months,Domestic Medium Hair Mix,White/Orange,4,39581,A707830,,07/22/2015 06:27:00 PM,07/22/2015 06:27:00 PM,03/18/2015,Adoption,,Cat,Neutered Male,4 months,Domestic Medium Hair Mix,White/Orange,122,Cat
300,A753987,,07/14/2017 07:41:00 AM,07/14/2017 07:41:00 AM,10014 Lake Creek Pkwy in Austin (TX),Stray,Nursing,Kitten,Unknown,4 weeks,Domestic Longhair Mix,Calico,0,42986,A753987,,07/14/2017 02:35:00 PM,07/14/2017 02:35:00 PM,06/14/2017,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Longhair Mix,Calico,30,Cat
301,A671235,Precious,01/21/2014 01:30:00 PM,01/21/2014 01:30:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,5 months,Domestic Shorthair Mix,Brown Tabby,5,68918,A671235,Precious,01/26/2014 05:47:00 PM,01/26/2014 05:47:00 PM,08/21/2013,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Brown Tabby,153,Cat
302,A669569,Chase,12/23/2013 11:03:00 AM,12/23/2013 11:03:00 AM,812 Springdale Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black,0,32628,A669569,Chase,12/23/2013 01:03:00 PM,12/23/2013 01:03:00 PM,12/23/2011,Return to Owner,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black,731,Dog
303,A742069,,01/14/2017 11:35:00 AM,01/14/2017 11:35:00 AM,Colony Creek Dr And Briardale Dr in Austin (TX),Stray,Normal,Puppy,Intact Male,2 weeks,Labrador Retriever Mix,Black/Black,0,16369,A742069,,01/14/2017 06:07:00 PM,01/14/2017 06:07:00 PM,12/30/2016,Transfer,Partner,Dog,Intact Male,2 weeks,Labrador Retriever Mix,Black/Black,15,Dog
304,A708837,Yaya Annie,08/01/2015 12:21:00 PM,08/01/2015 12:21:00 PM,9802 Roxanna Drive in Austin (TX),Stray,Nursing,Cat,Intact Female,1 year,Domestic Medium Hair,Torbie,57,49022,A708837,Yaya Annie,09/27/2015 03:10:00 PM,09/27/2015 03:10:00 PM,08/01/2014,Adoption,,Cat,Spayed Female,1 year,Domestic Medium Hair,Torbie,365,Cat
305,A776375,*Maddie,07/12/2018 03:07:00 PM,07/12/2018 03:07:00 PM,Research Boulevard in Austin (TX),Stray,Normal,Kitten,Intact Female,5 weeks,Domestic Shorthair Mix,Calico,45,18190,A776375,*Maddie,08/26/2018 05:56:00 PM,08/26/2018 05:56:00 PM,06/07/2018,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,35,Cat
306,A692911,Lincoln,11/28/2014 12:32:00 PM,11/28/2014 12:32:00 PM,Ed Bluestein/Hwy 183 in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Australian Shepherd Mix,Brown Merle,9,26968,A692911,Lincoln,12/07/2014 07:07:00 PM,12/07/2014 07:07:00 PM,11/28/2013,Adoption,,Dog,Neutered Male,1 year,Australian Shepherd Mix,Brown Merle,365,Dog
307,A701451,Mio,01/11/2016 11:21:00 AM,01/11/2016 11:21:00 AM,7513 N Interstate Hwy 35 in Austin (TX),Stray,Normal,Dog,Neutered Male,10 months,Chihuahua Shorthair/Boston Terrier,Brown Brindle/White,5,17275,A701451,Mio,01/16/2016 04:44:00 PM,01/16/2016 04:44:00 PM,03/01/2015,Transfer,Partner,Dog,Neutered Male,10 months,Chihuahua Shorthair/Boston Terrier,Brown Brindle/White,316,Dog
308,A747462,,04/20/2017 07:32:00 AM,04/20/2017 07:32:00 AM,1601 Royal Crest Dr in Austin (TX),Stray,Nursing,Kitten,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby/Black,0,47926,A747462,,04/20/2017 12:41:00 PM,04/20/2017 12:41:00 PM,04/05/2017,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby/Black,15,Cat
309,A664609,,10/06/2013 11:20:00 AM,10/06/2013 11:20:00 AM,10707 Lake Creek Parkway in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby/White,1,19747,A664609,,10/07/2013 04:01:00 PM,10/07/2013 04:01:00 PM,10/06/2011,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby/White,731,Cat
310,A779651,,09/04/2018 12:03:00 PM,09/04/2018 12:03:00 PM,2200 Garden Street in Austin (TX),Stray,Normal,Dog,Intact Male,7 months,Australian Cattle Dog Mix,Tricolor/Tan,7,11907,A779651,,09/11/2018 02:41:00 PM,09/11/2018 02:41:00 PM,01/04/2018,Transfer,Partner,Dog,Neutered Male,8 months,Australian Cattle Dog Mix,Tricolor/Tan,243,Dog
311,A735591,Lola,09/26/2016 10:25:00 AM,09/26/2016 10:25:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,5 years,Pit Bull Mix,White/Tan,29,62098,A735591,Lola,10/25/2016 12:20:00 PM,10/25/2016 12:20:00 PM,09/26/2011,Return to Owner,,Dog,Spayed Female,5 years,Pit Bull Mix,White/Tan,1827,Dog
312,A739153,*Ellie,11/28/2016 04:23:00 PM,11/28/2016 04:23:00 PM,South Ih-35 in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Pharaoh Hound Mix,Black,19,14190,A739153,*Ellie,12/18/2016 01:11:00 PM,12/18/2016 01:11:00 PM,11/28/2015,Adoption,,Dog,Spayed Female,1 year,Pharaoh Hound Mix,Black,366,Dog
313,A693840,Angel,05/13/2015 02:49:00 PM,05/13/2015 02:49:00 PM,6206 Carnation Ter in Austin (TX),Stray,Normal,Dog,Spayed Female,7 months,Pit Bull Mix,Fawn/White,195,62775,A693840,Angel,11/25/2015 07:34:00 AM,11/25/2015 07:34:00 AM,10/02/2014,Adoption,Foster,Dog,Spayed Female,1 year,Pit Bull Mix,Fawn/White,223,Dog
314,A747069,,04/13/2017 12:56:00 PM,04/13/2017 12:56:00 PM,613 W 31St St in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby,4,6649,A747069,,04/17/2017 07:15:00 PM,04/17/2017 07:15:00 PM,04/13/2016,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby,365,Cat
315,A682703,*Punkin,07/01/2014 06:39:00 PM,07/01/2014 06:39:00 PM,Grand Avenue Pkwy And Picadilly Dr in Pflugerville (TX),Stray,Normal,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Orange Tabby,14,82383,A682703,*Punkin,07/16/2014 02:47:00 PM,07/16/2014 02:47:00 PM,07/01/2010,Transfer,Partner,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Orange Tabby,1461,Cat
316,A735515,Lola,09/24/2016 04:06:00 PM,09/24/2016 04:06:00 PM,S Congress in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Fawn/Tan,5,30689,A735515,Lola,09/29/2016 06:50:00 PM,09/29/2016 06:50:00 PM,09/24/2014,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Fawn/Tan,731,Dog
317,A681400,,06/16/2014 11:24:00 AM,06/16/2014 11:24:00 AM,4707 Munson in Austin (TX),Stray,Normal,Kitten,Intact Male,1 month,Domestic Shorthair Mix,Blue/White,2,55428,A681400,,06/18/2014 02:09:00 PM,06/18/2014 02:09:00 PM,05/01/2014,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue/White,46,Cat
318,A773383,*Jasper,05/31/2018 01:01:00 PM,05/31/2018 01:01:00 PM,7507 Fm 1625 in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,4 years,Pit Bull Mix,Buff/Brown,12,72645,A773383,*Jasper,06/12/2018 01:24:00 PM,06/12/2018 01:24:00 PM,05/31/2014,Transfer,Partner,Dog,Neutered Male,4 years,Pit Bull Mix,Buff/Brown,1461,Dog
319,A746862,Harley,04/10/2017 10:37:00 AM,04/10/2017 10:37:00 AM,6311 Berkman Dr. in Austin (TX),Stray,Normal,Puppy,Intact Female,2 months,Great Dane Mix,Black/White,4,77363,A746862,Harley,04/14/2017 05:13:00 PM,04/14/2017 05:13:00 PM,01/14/2017,Adoption,,Dog,Spayed Female,2 months,Great Dane Mix,Black/White,86,Dog
320,A683575,*Tootie,07/12/2014 12:06:00 PM,07/12/2014 12:06:00 PM,5400 Springville Ln in Austin (TX),Stray,Normal,Dog,Intact Female,8 years,Chihuahua Shorthair Mix,Black/White,9,43618,A683575,*Tootie,07/21/2014 07:08:00 PM,07/21/2014 07:08:00 PM,07/12/2006,Adoption,,Dog,Intact Female,8 years,Chihuahua Shorthair Mix,Black/White,2922,Dog
321,A731206,Peeta,07/18/2016 12:47:00 PM,07/18/2016 12:47:00 PM,7404 Southgate Ln in Austin (TX),Stray,Normal,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Orange Tabby,7,207,A731206,Peeta,07/25/2016 03:07:00 PM,07/25/2016 03:07:00 PM,07/18/2011,Return to Owner,,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Orange Tabby,1827,Cat
322,A739081,Tizoc,11/27/2016 03:16:00 PM,11/27/2016 03:16:00 PM,3005 Parker Lane in Austin (TX),Stray,Normal,Puppy,Intact Male,4 months,Labrador Retriever Mix,Black,4,4765,A739081,Tizoc,12/01/2016 05:57:00 PM,12/01/2016 05:57:00 PM,07/12/2016,Return to Owner,,Dog,Neutered Male,4 months,Labrador Retriever Mix,Black,138,Dog
323,A719167,*Toby,01/14/2016 03:07:00 PM,01/14/2016 03:07:00 PM,7500 Blessing in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Miniature Pinscher Mix,Black/Brown,5,29023,A719167,*Toby,01/19/2016 04:58:00 PM,01/19/2016 04:58:00 PM,01/14/2014,Adoption,,Dog,Neutered Male,2 years,Miniature Pinscher Mix,Black/Brown,730,Dog
324,A689945,*Lacey,10/11/2014 03:51:00 PM,10/11/2014 03:51:00 PM,9601 Point Vista Pl in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Brown/White,15,36619,A689945,*Lacey,10/27/2014 12:09:00 PM,10/27/2014 12:09:00 PM,10/11/2012,Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White,730,Dog
325,A689986,*Phoebe,10/12/2014 02:16:00 PM,10/12/2014 02:16:00 PM,5808 Mckinney Falls Parkway in Austin (TX),Stray,Normal,Puppy,Intact Female,3 months,Pit Bull Mix,White/Tan,5,13018,A689986,*Phoebe,10/17/2014 05:17:00 PM,10/17/2014 05:17:00 PM,06/17/2014,Adoption,,Dog,Spayed Female,4 months,Pit Bull Mix,White/Tan,117,Dog
326,A704306,Guero,10/25/2015 11:43:00 AM,10/25/2015 11:43:00 AM,Cesar Chavez And Pleasant Valley in Austin (TX),Stray,Normal,Dog,Neutered Male,10 months,Chihuahua Shorthair Mix,Yellow,1,18926,A704306,Guero,10/26/2015 05:43:00 PM,10/26/2015 05:43:00 PM,12/03/2014,Return to Owner,,Dog,Neutered Male,10 months,Chihuahua Shorthair Mix,Yellow,326,Dog
327,A758227,Benny,09/13/2017 07:39:00 AM,09/13/2017 07:39:00 AM,Del Valle (TX),Stray,Nursing,Puppy,Intact Male,1 day,Labrador Retriever Mix,Fawn/White,57,69397,A758227,Benny,11/09/2017 02:21:00 PM,11/09/2017 02:21:00 PM,09/12/2017,Adoption,Foster,Dog,Neutered Male,1 month,Labrador Retriever Mix,Fawn/White,1,Dog
328,A713799,,10/13/2015 12:25:00 PM,10/13/2015 12:25:00 PM,Austin (TX),Public Assist,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White,10,23759,A713799,,10/23/2015 05:48:00 PM,10/23/2015 05:48:00 PM,10/13/2013,Return to Owner,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White,730,Cat
329,A697843,Rio,03/02/2015 11:47:00 AM,03/02/2015 11:47:00 AM,East Hwy 71/Ih 30 in Del Valle (TX),Stray,Normal,Dog,Intact Male,2 years,Miniature Schnauzer/Miniature Poodle,White,5,40656,A697843,Rio,03/07/2015 05:49:00 PM,03/07/2015 05:49:00 PM,03/02/2013,Adoption,,Dog,Neutered Male,2 years,Miniature Schnauzer/Miniature Poodle,White,730,Dog
330,A691049,*Ridley,10/29/2014 02:12:00 PM,10/29/2014 02:12:00 PM,8003 Decker Ln in Travis (TX),Stray,Sick,Dog,Intact Male,3 years,Pit Bull Mix,Chocolate/White,23,41126,A691049,*Ridley,11/21/2014 05:42:00 PM,11/21/2014 05:42:00 PM,10/29/2011,Euthanasia,Behavior,Dog,Neutered Male,3 years,Pit Bull Mix,Chocolate/White,1096,Dog
331,A707389,*Burt,07/12/2015 11:27:00 AM,07/12/2015 11:27:00 AM,12302 Havelock Dr in Austin (TX),Stray,Normal,Cat,Neutered Male,3 years,Domestic Medium Hair Mix,Black,6,17101,A707389,*Burt,07/18/2015 01:06:00 PM,07/18/2015 01:06:00 PM,07/12/2012,Transfer,Partner,Cat,Neutered Male,3 years,Domestic Medium Hair Mix,Black,1095,Cat
332,A770026,,04/14/2018 12:39:00 PM,04/14/2018 12:39:00 PM,5918 Alsace Trail in Austin (TX),Stray,Normal,Kitten,Unknown,4 days,Domestic Shorthair Mix,Brown Tabby,0,56043,A770026,,04/14/2018 12:50:00 PM,04/14/2018 12:50:00 PM,04/10/2018,Transfer,Partner,Cat,Unknown,4 days,Domestic Shorthair Mix,Brown Tabby,4,Cat
333,A715031,Vicky,12/09/2015 03:10:00 PM,12/09/2015 03:10:00 PM,1406 Click Cv in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Dachshund Mix,Red/Black,12,60073,A715031,Vicky,12/22/2015 02:08:00 PM,12/22/2015 02:08:00 PM,10/30/2012,Return to Owner,,Dog,Spayed Female,3 years,Dachshund Mix,Red/Black,1135,Dog
334,A633994,Pumpkin,10/18/2017 12:17:00 PM,10/18/2017 12:17:00 PM,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,7 years,Golden Retriever Mix,Gold/Brown,3,5402,A633994,Pumpkin,10/21/2017 04:53:00 PM,10/21/2017 04:53:00 PM,08/03/2010,Adoption,,Dog,Spayed Female,7 years,Golden Retriever Mix,Gold/Brown,2633,Dog
335,A717694,Scooby,04/30/2017 06:36:00 PM,04/30/2017 06:36:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Pointer Mix,White/Brown,10,27839,A717694,Scooby,05/11/2017 01:24:00 PM,05/11/2017 01:24:00 PM,01/12/2015,Return to Owner,,Dog,Neutered Male,2 years,Pointer Mix,White/Brown,839,Dog
336,A735716,F,09/27/2016 06:06:00 PM,09/27/2016 06:06:00 PM,13521 Sea Biscuit in Del Valle (TX),Stray,Normal,Kitten,Unknown,4 weeks,Domestic Shorthair Mix,Black,0,27367,A735716,F,09/28/2016 01:50:00 PM,09/28/2016 01:50:00 PM,08/27/2016,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Black,31,Cat
337,A738497,*Kyleigh,11/16/2016 01:02:00 PM,11/16/2016 01:02:00 PM,1114 Henninger St in Austin (TX),Stray,Normal,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Brown Tabby,36,60697,A738497,*Kyleigh,12/22/2016 01:35:00 PM,12/22/2016 01:35:00 PM,11/16/2012,Transfer,Partner,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Brown Tabby,1461,Cat
338,A757469,*Aries,09/03/2017 10:32:00 AM,09/03/2017 10:32:00 AM,6105 Saddler Ln in Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Blue,14,68119,A757469,*Aries,09/17/2017 06:24:00 PM,09/17/2017 06:24:00 PM,09/03/2016,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue,365,Cat
339,A730009,*Pearl,06/27/2016 11:28:00 AM,06/27/2016 11:28:00 AM,Austin (TX),Owner Surrender,Normal,Kitten,Intact Female,3 weeks,Domestic Shorthair Mix,Black,44,34606,A730009,*Pearl,08/11/2016 10:40:00 AM,08/11/2016 10:40:00 AM,06/02/2016,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,25,Cat
340,A721252,,02/24/2016 08:31:00 AM,02/24/2016 08:31:00 AM,816 E. 49Th in Austin (TX),Stray,Normal,Kitten,Intact Female,4 months,Domestic Shorthair Mix,Gray Tabby/Black,0,75289,A721252,,02/24/2016 03:22:00 PM,02/24/2016 03:22:00 PM,10/24/2015,Return to Owner,,Cat,Intact Female,4 months,Domestic Shorthair Mix,Gray Tabby/Black,123,Cat
341,A675000,,03/21/2014 12:32:00 PM,03/21/2014 12:32:00 PM,6633 E 290 in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown,1,14062,A675000,,03/23/2014 08:53:00 AM,03/23/2014 08:53:00 AM,03/21/2013,Disposal,,Other,Unknown,1 year,Bat Mix,Brown,365,Other
342,A710357,Gator,08/22/2015 11:21:00 AM,08/22/2015 11:21:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Blue/White,6,41322,A710357,Gator,08/28/2015 04:14:00 PM,08/28/2015 04:14:00 PM,08/22/2013,Euthanasia,Aggressive,Dog,Intact Male,2 years,Pit Bull Mix,Blue/White,730,Dog
343,A701958,*Layla,05/06/2015 06:57:00 PM,05/06/2015 06:57:00 PM,8001 S Ih 35 Frontage Rd in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Standard Schnauzer Mix,Black,11,60749,A701958,*Layla,05/18/2015 06:39:00 PM,05/18/2015 06:39:00 PM,05/06/2013,Adoption,Foster,Dog,Spayed Female,2 years,Standard Schnauzer Mix,Black,730,Dog
344,A722523,,03/18/2016 08:09:00 AM,03/18/2016 08:09:00 AM,Howard / Dessau in Pflugerville (TX),Stray,Nursing,Kitten,Unknown,3 days,Domestic Shorthair Mix,Black,0,30264,A722523,,03/18/2016 10:29:00 AM,03/18/2016 10:29:00 AM,03/15/2016,Transfer,Partner,Cat,Unknown,3 days,Domestic Shorthair Mix,Black,3,Cat
345,A690370,Yogi,10/19/2014 01:49:00 PM,10/19/2014 01:49:00 PM,Austin (TX),Public Assist,Normal,Dog,Intact Male,3 years,Chihuahua Shorthair Mix,Black/Brown,10,11280,A690370,Yogi,10/29/2014 05:05:00 PM,10/29/2014 05:05:00 PM,10/19/2011,Return to Owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Black/Brown,1096,Dog
346,A752638,,06/25/2017 01:06:00 PM,06/25/2017 01:06:00 PM,12101 Dessau Rd in Austin (TX),Stray,Normal,Cat,Intact Male,3 years,Domestic Shorthair Mix,Brown Tabby,4,20583,A752638,,06/29/2017 06:33:00 PM,06/29/2017 06:33:00 PM,06/25/2014,Transfer,Partner,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby,1096,Cat
347,A761461,,11/05/2017 11:24:00 AM,11/05/2017 11:24:00 AM,443 Mesa Drive in Del Valle (TX),Stray,Normal,Cat,Unknown,6 months,American Shorthair Mix,Black/Black,5,43092,A761461,,11/10/2017 07:13:00 PM,11/10/2017 07:13:00 PM,05/05/2017,Transfer,Snr,Cat,Unknown,6 months,American Shorthair Mix,Black/Black,184,Cat
