intake_index,animal_id,name,datetime,monthyear,found_location,intake_type,intake_condition,animal_type,sex_upon_intake,age_upon_intake,breed,color,los,outcome_index,outcome_animal_id,outcome_name,outcome_datetime,outcome_monthyear,outcome_date_of_birth,outcome_type,outcome_subtype,outcome_animal_type,sex_upon_outcome,age_upon_outcome,outcome_breed,outcome_color,days_old,species
108,A700460,,04/14/2015 10:26:00 AM,04/14/2015 10:26:00 AM,Austin (TX),Stray,Sick,Kitten,Intact Female,2 weeks,Domestic Shorthair Mix,Blue Tabby/White,0,56916,A700460,,04/14/2015 02:34:00 PM,04/14/2015 02:34:00 PM,03/30/2015,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Blue Tabby/White,15,Cat
109,A697222,Levon,02/19/2015 06:36:00 PM,02/19/2015 06:36:00 PM,Hwy 71 And Fm 973 in Del Valle (TX),Stray,Normal,Dog,Intact Male,2 years,Queensland Heeler Mix,Black/Tan,15,66362,A697222,Levon,03/07/2015 01:43:00 PM,03/07/2015 01:43:00 PM,02/19/2013,Adoption,,Dog,Neutered Male,2 years,Queensland Heeler Mix,Black/Tan,730,Dog
110,A771402,*Oliver,05/04/2018 02:12:00 PM,05/04/2018 02:12:00 PM,Outside Jurisdiction,Owner Surrender,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Blue/White,8,10180,A771402,*Oliver,05/13/2018 12:50:00 PM,05/13/2018 12:50:00 PM,05/04/2017,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue/White,365,Cat
111,A780724,,09/19/2018 01:36:00 PM,09/19/2018 01:36:00 PM,902 B Sirocco Drive in Austin (TX),Stray,Normal,Kitten,Intact Male,2 months,Domestic Shorthair Mix,Blue,8,23088,A780724,,09/27/2018 06:44:00 PM,09/27/2018 06:44:00 PM,07/19/2018,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue,62,Cat
112,A737338,Hiccup,10/26/2016 07:46:00 AM,10/26/2016 07:46:00 AM,5200 Ravensdale in Austin (TX),Stray,Sick,Dog,Intact Male,1 year,Labrador Retriever Mix,Tan/White,9,82424,A737338,Hiccup,11/04/2016 05:20:00 PM,11/04/2016 05:20:00 PM,08/26/2015,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Tan/White,427,Dog
113,A737666,*Cooper,11/02/2016 12:21:00 PM,11/02/2016 12:21:00 PM,9101 Sweet Gum Dr in Austin (TX),Stray,Normal,Kitten,Intact Male,4 weeks,Domestic Medium Hair Mix,Black,7,5903,A737666,*Cooper,11/09/2016 02:16:00 PM,11/09/2016 02:16:00 PM,10/02/2016,Transfer,Partner,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Black,31,Cat
114,A655838,Midget,09/25/2018 05:32:00 PM,09/25/2018 05:32:00 PM,7215 Maverick Court in Travis (TX),Public Assist,Normal,Dog,Spayed Female,6 years,Pit Bull Mix,White/Red,6,85296,A655838,Midget,10/01/2018 07:05:00 PM,10/01/2018 07:05:00 PM,08/06/2012,Adoption,,Dog,Spayed Female,6 years,Pit Bull Mix,White/Red,2241,Dog
115,A692589,,11/23/2014 11:32:00 AM,11/23/2014 11:32:00 AM,1310 Delano St in Austin (TX),Stray,Normal,Kitten,Intact Male,3 months,Domestic Shorthair Mix,Blue/White,21,60727,A692589,,12/14/2014 05:32:00 PM,12/14/2014 05:32:00 PM,08/08/2014,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Blue/White,107,Cat
116,A783210,,10/27/2018 11:03:00 AM,10/27/2018 11:03:00 AM,6102 Kidneywood Trl in Austin (TX),Stray,Normal,Puppy,Intact Female,3 weeks,Chinese Sharpei Mix,White/Brown,0,59344,A783210,,10/27/2018 07:05:00 PM,10/27/2018 07:05:00 PM,10/04/2018,Transfer,Partner,Dog,Intact Female,3 weeks,Chinese Sharpei Mix,White/Brown,23,Dog
117,A769252,Oreo,04/02/2018 12:36:00 PM,04/02/2018 12:36:00 PM,Austin (TX),Owner Surrender,Normal,Kitten,Intact Male,1 month,Domestic Medium Hair,Lynx Point,0,208,A769252,Oreo,04/02/2018 04:39:00 PM,04/02/2018 04:39:00 PM,02/23/2018,Transfer,Partner,Cat,Intact Male,1 month,Domestic Medium Hair,Lynx Point,38,Cat
