,Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
61,A786459,"7721 MANCHACA ROAD
AUSTIN 78745
(30.194133, -97.811066)",No (contact for more info),12/25/2018,Dog,Boston Terrier Mix,Chocolate/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786459
62,A753455,"4553 GUADALUPE
AUSTIN 78745
(30.312476, -97.731894)",Yes (come to the shelter),12/26/2018,Dog,Australian Shepherd,White,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A753455
63,A786446,"1156 WEST CESAR CHAVEZ STREET
AUSTIN 78703
(30.268929, -97.760472)",Yes (come to the shelter),12/24/2018,Dog,Border Collie,Black/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786446
64,A786464,"10003 WAYSIDE BLVD
AUSTIN 78745
(30.272571, -97.621138)",Yes (come to the shelter),12/26/2018,Cat,Domestic Shorthair,Orange Tabby,Neutered Male,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786464
65,A786511,"HIGHLAND HILLS TERRACE AUSTIN 78731
(30.345658, -97.765626)",No (contact for more info),12/26/2018,Cat,Domestic Shorthair Mix,Orange Tabby/White,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786511
66,A786473,"124 WEST ANDERSON LANE
AUSTIN 78752
(30.344335, -97.705529)",Yes (come to the shelter),12/26/2018,Dog,Labrador Retriever/Border Collie,Black/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786473
67,A774659,"12034 RESEARCH
AUSTIN 78744
(30.424971, -97.751545)",Yes (come to the shelter),12/26/2018,Cat,Domestic Shorthair Mix,Brown Tabby,Spayed Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A774659
68,A707467,"3002 CASTRO STREET
AUSTIN 78702
(30.261896, -97.705981)",No (contact for more info),12/26/2018,Dog,Italian Greyhound/Chihuahua Shorthair,Tan,Spayed Female,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A707467
69,A786478,"AUSTIN 78739
(30.182911, -97.890498)",Yes (come to the shelter),12/26/2018,Dog,German Shepherd Mix,Black/Tan,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786478
70,A786480,"BRANDT ROAD AUSTIN 78744
(30.186349, -97.738673)",Yes (come to the shelter),12/26/2018,Dog,Chihuahua Shorthair Mix,Cream,Intact Female,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786480
71,A771583,"906 BIRD CREEK
AUSTIN 78753
(30.370995, -97.696354)",Yes (come to the shelter),12/24/2018,Dog,Labrador Retriever/Great Pyrenees,White/Brown,Intact Male,11 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A771583
72,A786469,"14904 BROKEN BOW TRL
AUSTIN 78733
(30.384784, -97.928056)",Yes (come to the shelter),12/26/2018,Dog,Pit Bull Mix,White,Neutered Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786469
73,A786476,"SLAUGHTER LANE AUSTIN 78745
(30.206782, -97.798214)",Yes (come to the shelter),12/26/2018,Dog,Shih Tzu Mix,Cream/Tan,Intact Female,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786476
74,A786477,"12118 WALNUT PARK CROSSING
AUSTIN 78753
(30.39307, -97.676452)",Yes (come to the shelter),12/26/2018,Cat,Domestic Longhair Mix,Orange Tabby/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786477
75,A786482,"13212 CLARA MARTIN ROAD MANOR78653
(30.353019, -97.516109)",No (contact for more info),12/26/2018,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786482
76,A786483,"WEST GUADALUPE
AUSTIN 78701",Yes (come to the shelter),12/26/2018,Dog,German Shepherd/Beagle,Tricolor,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786483
77,A786486,2302 AUSTIN78704,Yes (come to the shelter),12/26/2018,Cat,Domestic Medium Hair Mix,Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786486
78,A786487,"2430 CROMWELL CIRCLE
AUSTIN 78741
(30.226563, -97.721184)",Yes (come to the shelter),12/26/2018,Dog,Chihuahua Shorthair Mix,Red,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786487
79,A786493,"LUNAR DRIVE
AUSTIN 78745",Yes (come to the shelter),12/26/2018,Dog,Yorkshire Terrier/Norfolk Terrier,Gold,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786493
80,A786505,"SOUTH EAST PLEASANT VALLEY
AUSTIN 78744",No (contact for more info),12/26/2018,Dog,German Shepherd Mix,Brown/Black,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786505
81,A786507,"JIM THORPE LANE AUSTIN 78748
(30.166107, -97.825259)",Yes (come to the shelter),12/26/2018,Dog,Shih Tzu Mix,Black/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786507
82,A786502,"12100 WALTON HILL PASS78615
(30.434108, -97.48287)",Yes (come to the shelter),12/26/2018,Dog,Doberman Pinsch Mix,Chocolate/Tan,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786502
83,A786509,"605 SEVILLE DRIVE
AUSTIN 78724",Yes (come to the shelter),12/26/2018,Dog,German Shepherd Mix,Black/Tan,Spayed Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786509
84,A786510,"1054 SPRINGDALE ROAD
AUSTIN 78721
(30.272605, -97.691021)",Yes (come to the shelter),12/26/2018,Cat,Domestic Medium Hair Mix,Calico,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786510
85,A786512,"18713 GREAT FALLS DRIVE MANOR78653
(30.318159, -97.527095)",Yes (come to the shelter),12/26/2018,Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786512
86,A786513,"18713 GREAT FALLS DRIVE MANOR78653
(30.318159, -97.527095)",Yes (come to the shelter),12/26/2018,Cat,Domestic Shorthair Mix,Calico,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786513
87,A786514,"18713 GREAT FALLS DRIVE MANOR78653
(30.318159, -97.527095)",Yes (come to the shelter),12/26/2018,Cat,Domestic Shorthair Mix,Tortie,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786514
88,A786516,"10308 BROWNIE DRIVE
AUSTIN 78753
(30.368966, -97.683878)",Yes (come to the shelter),12/26/2018,Cat,Domestic Shorthair Mix,Tortie,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786516
89,A786517,"4460 EILERS AVENUE
AUSTIN 78751
(30.30495, -97.722787)",No (contact for more info),12/26/2018,Dog,Boxer Mix,Tan/White,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786517
90,A786518,"4460 EILERS AVENUE
AUSTIN 78751
(30.30495, -97.722787)",No (contact for more info),12/26/2018,Dog,Beagle Mix,Tan/White,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786518
91,A786519,"4460 EILERS AVENUE
AUSTIN 78751
(30.30495, -97.722787)",No (contact for more info),12/26/2018,Dog,Beagle Mix,Tan/White,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786519
92,A786526,RUIDOSA STREET78719,Yes (come to the shelter),12/27/2018,Dog,German Shepherd Mix,Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786526
93,A566568,"7001 BOYLE DRIVE
AUSTIN 78724
(30.304982, -97.64592)",Yes (come to the shelter),12/27/2018,Dog,Harrier Mix,Brown/Black,Neutered Male,9 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A566568
94,A783120,"8804 CAINWOOD LN
AUSTIN 78729
(30.455794, -97.772229)",Yes (come to the shelter),12/27/2018,Dog,Rottweiler Mix,Black/Tan,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A783120
95,A786528,"ANITA MARIE LANE AUSTIN 78728
(30.450836, -97.682765)",No (contact for more info),12/27/2018,Dog,Boxer Mix,Red/White,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786528
96,A786522,"973 AUSTIN78617
(29.689274, -97.67095)",Yes (come to the shelter),12/27/2018,Dog,Staffordshire/Border Collie,Black/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786522
97,A786527,"10300 DOYLE ROAD
DEL VALLE 78617
(30.097883, -97.617081)",Yes (come to the shelter),12/27/2018,Dog,Chihuahua Shorthair Mix,Black/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786527
98,A786534,"7301 DUNGAREES WAY
DEL VALLE 78617",Yes (come to the shelter),12/27/2018,Dog,German Shepherd Mix,Tan,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786534
99,A786535,"7301 DUNGAREES WAY
DEL VALLE 78617",Yes (come to the shelter),12/27/2018,Dog,German Shepherd Mix,Black/Tan,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786535
100,A786530,"5604 MESQUITE GROVE ROAD
AUSTIN 78744
(30.191052, -97.735684)",Yes (come to the shelter),12/27/2018,Cat,Domestic Longhair Mix,Blue Tabby/White,Intact Female,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786530
101,A786531,"1421 BERENE AVENUE
AUSTIN 78721
(30.281666, -97.683277)",Yes (come to the shelter),12/27/2018,Cat,Domestic Shorthair Mix,Black,Intact Male,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786531
102,A785786,"8416 RIVERSTONE DRIVE
AUSTIN 78724
(30.294316, -97.627548)",No (contact for more info),12/28/2018,Dog,Labrador Retriever Mix,Yellow,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A785786
103,A786636,"71 AND
AUSTIN 78741",No (contact for more info),12/28/2018,Dog,Golden Retriever Mix,Tan/Buff,Unknown,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786636
