,Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
131,A786582,"8201 RIVERSTONE DR
AUSTIN 78724
(30.293686, -97.63088)",Yes (come to the shelter),12/28/2018,Cat,Domestic Shorthair Mix,Tortie,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786582
132,A786583,"6500 WAY LANE
AUSTIN 78739
(30.188484, -97.896996)",Yes (come to the shelter),12/28/2018,Cat,Domestic Shorthair Mix,Orange,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786583
133,A786576,"6919 SHANNON DRIVE
AUSTIN 78724
(30.301746, -97.64131)",Yes (come to the shelter),12/27/2018,Cat,Domestic Shorthair Mix,Tortie,Intact Female,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786576
134,A786586,"4509 EAST ST
ELMO AUSTIN 78744",Yes (come to the shelter),12/28/2018,Dog,Labrador Retriever Mix,Black/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786586
135,A786592,"4812 NORTH IH
AUSTIN 78751
(30.31215, -97.72244)",Yes (come to the shelter),12/28/2018,Dog,Labrador Retriever Mix,Brown/White,Intact Male,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786592
136,A786596,"979 SPRINGDALE ROAD
AUSTIN 78702
(30.263918, -97.696604)",No (contact for more info),12/28/2018,Dog,Labrador Retriever Mix,Black/White,Unknown,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786596
137,A786597,"979 SPRINGDALE ROAD
AUSTIN 78702
(30.263918, -97.696604)",No (contact for more info),12/28/2018,Dog,Labrador Retriever Mix,Brown/White,Unknown,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786597
138,A786585,"13729 FALL SPRINGS WAY78653
(30.365301, -97.539069)",Yes (come to the shelter),12/28/2018,Dog,American Pit Bull Terrier Mix,Black/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786585
139,A786593,"7619 EAST BEN
WHITE AUSTIN 78741",Yes (come to the shelter),12/28/2018,Dog,Staffordshire Mix,Tan/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786593
140,A786601,WOOD LILY TRAIL78621,Yes (come to the shelter),12/28/2018,Dog,Siberian Husky Mix,Black/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786601
141,A786602,"15916 ROUND MOUNTAIN ROAD
LEANDER 78641
(30.591915, -97.937593)",No (contact for more info),12/28/2018,Dog,Australian Cattle Dog Mix,Blue Tick,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786602
142,A786604,"5403 LARK CREEK DRIVE
AUSTIN 78744
(30.194749, -97.735427)",Yes (come to the shelter),12/28/2018,Dog,Pit Bull Mix,Blue/White,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786604
143,A786587,"4509 EAST ST
ELMO AUSTIN 78744",Yes (come to the shelter),12/28/2018,Dog,Pit Bull Mix,Chocolate/White,Intact Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786587
144,A786598,"7337 DUNGAREES WAY
DEL VALLE 78617",Yes (come to the shelter),12/28/2018,Dog,German Shepherd Mix,Black/Brown,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786598
145,A786599,"7337 DUNGAREES WAY
DEL VALLE 78617",Yes (come to the shelter),12/28/2018,Dog,German Shepherd Mix,Brown/Black,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786599
146,A773909,"TWELTH STREET
AUSTIN 78721",Yes (come to the shelter),12/28/2018,Dog,Staffordshire Mix,Fawn/Tricolor,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A773909
147,A786321,"5700 HIGHWAY
AUSTIN 78741",Yes (come to the shelter),12/22/2018,Dog,Plott Hound Mix,Brown Brindle/White,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786321
148,A786606,"1600 SOUTH LAKELINE
AUSTIN 78613
(30.482348, -97.834472)",Yes (come to the shelter),12/28/2018,Dog,Anatolian Shepherd,Brown/Black,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786606
149,A786609,"AUSTIN 78745
(30.206782, -97.798214)",Yes (come to the shelter),12/28/2018,Dog,Anatolian Shepherd Mix,Brown/Tan,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786609
150,A637940,"1054 SPRINGDALE
AUSTIN AUSTIN 78721
(30.272605, -97.691021)",Yes (come to the shelter),12/28/2018,Dog,Pit Bull Mix,Brown/White,Spayed Female,9 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A637940
151,A741680,"AIRPORT
AUSTIN 78721",Yes (come to the shelter),12/28/2018,Dog,Labrador Retriever Mix,Yellow,Neutered Male,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A741680
152,A786588,"5409 PONCIANA DR
AUSTIN 78744
(30.198004, -97.755621)",Yes (come to the shelter),12/28/2018,Dog,Pit Bull Mix,Black/White,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786588
153,A786608,"21101 HOG EYE RD78653
(30.297337, -97.483891)",Yes (come to the shelter),12/28/2018,Dog,Labrador Retriever Mix,White,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786608
154,A786627,"6902 WENTWORTH DRIVE
AUSTIN 78724
(30.295206, -97.629718)",Yes (come to the shelter),12/28/2018,Dog,Labrador Retriever,Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786627
155,A786628,"10702 SAN JOSE AVENUE
DEL VALLE 78617
(30.148063, -97.668763)",Yes (come to the shelter),12/28/2018,Dog,Shetland Sheepdog Mix,Tricolor,Intact Male,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786628
156,A786631,"1604 WHELESS LANE
AUSTIN 78723
(30.319213, -97.691615)",Yes (come to the shelter),12/28/2018,Dog,Chihuahua Shorthair Mix,Red,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786631
157,A786632,"1604 WHELESS LANE
AUSTIN 78723
(30.319213, -97.691615)",Yes (come to the shelter),12/28/2018,Dog,Chihuahua Shorthair Mix,Red,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786632
158,A786634,"502 WEST OLTORF STREET
AUSTIN 78704
(30.241425, -97.758143)",Yes (come to the shelter),12/28/2018,Cat,Domestic Longhair Mix,Tortie,Intact Female,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786634
159,A786635,"11005 FLORAL PARK DRIVE
AUSTIN 78759
(30.407433, -97.749697)",Yes (come to the shelter),12/28/2018,Cat,Domestic Shorthair Mix,Black,Neutered Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786635
